rep,n,threads,batch,wall_ns,ns_per_node,checks
137,16384,3,16,405472,1.546752930,48
137,131072,3,2,783713,2.989627838,6
137,294378,3,1,999529,3.395392998,3
137,500000,3,1,1732867,3.465734000,3
138,16384,3,16,390624,1.490112305,48
138,131072,3,2,566745,2.161960602,6
138,294378,3,1,1062527,3.609396762,3
138,500000,3,1,1287320,2.574640000,3
139,16384,3,16,270418,1.031562805,48
139,131072,3,2,585049,2.231784821,6
139,294378,3,1,708913,2.408172486,3
139,500000,3,1,2056966,4.113932000,3
140,16384,3,16,284304,1.084533691,48
140,131072,3,2,605358,2.309257507,6
140,294378,3,1,816525,2.773729694,3
140,500000,3,1,1274966,2.549932000,3
141,16384,3,16,280738,1.070930481,48
141,131072,3,2,518514,1.977973938,6
141,294378,3,1,771811,2.621836550,3
141,500000,3,1,1159429,2.318858000,3
142,16384,3,16,299954,1.144233704,48
142,131072,3,2,651485,2.485218048,6
142,294378,3,1,687883,2.336733723,3
142,500000,3,1,1077224,2.154448000,3
143,16384,3,16,269507,1.028087616,48
143,131072,3,2,523924,1.998611450,6
143,294378,3,1,659019,2.238682918,3
143,500000,3,1,1169718,2.339436000,3
144,16384,3,16,366038,1.396324158,48
144,131072,3,2,585561,2.233737946,6
144,294378,3,1,576083,1.956949908,3
144,500000,3,1,1184335,2.368670000,3
145,16384,3,16,299062,1.140830994,48
145,131072,3,2,499900,1.906967163,6
145,294378,3,1,623221,2.117077363,3
145,500000,3,1,1251682,2.503364000,3
146,16384,3,16,276219,1.053691864,48
146,131072,3,2,533182,2.033927917,6
146,294378,3,1,806797,2.740683747,3
146,500000,3,1,1584558,3.169116000,3
147,16384,3,16,414308,1.580459595,48
147,131072,3,2,557408,2.126342773,6
147,294378,3,1,1181240,4.012663990,3
147,500000,3,1,1697400,3.394800000,3
148,16384,3,16,305084,1.163803101,48
148,131072,3,2,530987,2.025554657,6
148,294378,3,1,951018,3.230601472,3
148,500000,3,1,1084689,2.169378000,3
149,16384,3,16,285116,1.087631226,48
149,131072,3,2,751662,2.867362976,6
149,294378,3,1,765619,2.600802370,3
149,500000,3,1,1192100,2.384200000,3
150,16384,3,16,266761,1.017612457,48
150,131072,3,2,499729,1.906314850,6
150,294378,3,1,506932,1.722044446,3
150,500000,3,1,1264046,2.528092000,3
151,16384,3,16,282361,1.077121735,48
151,131072,3,2,554462,2.115104675,6
151,294378,3,1,836052,2.840062776,3
151,500000,3,1,1292228,2.584456000,3
152,16384,3,16,296487,1.131008148,48
152,131072,3,2,620977,2.368839264,6
152,294378,3,1,779255,2.647123766,3
152,500000,3,1,1648548,3.297096000,3
153,16384,3,16,403879,1.540676117,48
153,131072,3,2,841692,3.210800171,6
153,294378,3,1,760961,2.584979176,3
153,500000,3,1,1357852,2.715704000,3
154,16384,3,16,387839,1.479488373,48
154,131072,3,2,765639,2.920681000,6
154,294378,3,1,976515,3.317214602,3
154,500000,3,1,1630304,3.260608000,3
155,16384,3,16,402306,1.534675598,48
155,131072,3,2,561235,2.140941620,6
155,294378,3,1,731464,2.484778074,3
155,500000,3,1,1270528,2.541056000,3
156,16384,3,16,310393,1.184055328,48
156,131072,3,2,635113,2.422763824,6
156,294378,3,1,653368,2.219486511,3
156,500000,3,1,1191159,2.382318000,3
157,16384,3,16,274866,1.048530579,48
157,131072,3,2,487907,1.861217499,6
157,294378,3,1,747655,2.539778788,3
157,500000,3,1,1844286,3.688572000,3
158,16384,3,16,437703,1.669704437,48
158,131072,3,2,859485,3.278675079,6
158,294378,3,1,648699,2.203625950,3
158,500000,3,1,1625835,3.251670000,3
159,16384,3,16,403348,1.538650513,48
159,131072,3,2,789464,3.011566162,6
159,294378,3,1,892297,3.031126647,3
159,500000,3,1,1484220,2.968440000,3
160,16384,3,16,406574,1.550956726,48
160,131072,3,2,709774,2.707572937,6
160,294378,3,1,861289,2.925792688,3
160,500000,3,1,1149500,2.299000000,3
161,16384,3,16,262413,1.001026154,48
161,131072,3,2,482737,1.841495514,6
161,294378,3,1,516350,1.754037326,3
161,500000,3,1,1203391,2.406782000,3
162,16384,3,16,274436,1.046890259,48
162,131072,3,2,535346,2.042182922,6
162,294378,3,1,766010,2.602130594,3
162,500000,3,1,1574299,3.148598000,3
163,16384,3,16,298772,1.139724731,48
163,131072,3,2,602492,2.298324585,6
163,294378,3,1,939406,3.191155589,3
163,500000,3,1,1699214,3.398428000,3
164,16384,3,16,299433,1.142246246,48
164,131072,3,2,528533,2.016193390,6
164,294378,3,1,584037,1.983969590,3
164,500000,3,1,1001873,2.003746000,3
165,16384,3,16,289304,1.103607178,48
165,131072,3,2,541017,2.063816071,6
165,294378,3,1,683033,2.320258307,3
165,500000,3,1,1276139,2.552278000,3
166,16384,3,16,267412,1.020095825,48
166,131072,3,2,497806,1.898979187,6
166,294378,3,1,581553,1.975531460,3
166,500000,3,1,963941,1.927882000,3
167,16384,3,16,281880,1.075286865,48
167,131072,3,2,540526,2.061943054,6
167,294378,3,1,700477,2.379515453,3
167,500000,3,1,1180309,2.360618000,3
168,16384,3,16,274916,1.048721313,48
168,131072,3,2,536107,2.045085907,6
168,294378,3,1,663217,2.252943494,3
168,500000,3,1,995351,1.990702000,3
169,16384,3,16,287139,1.095348358,48
169,131072,3,2,525076,2.003005981,6
169,294378,3,1,703462,2.389655477,3
169,500000,3,1,1709232,3.418464000,3
170,16384,3,16,450517,1.718585968,48
170,131072,3,2,542870,2.070884705,6
170,294378,3,1,574390,1.951198799,3
170,500000,3,1,1568187,3.136374000,3
171,16384,3,16,283282,1.080635071,48
171,131072,3,2,619053,2.361499786,6
171,294378,3,1,732015,2.486649818,3
