rep,documents,operation,sample,latency_ns,correct
0,64,unicode,18,1050856,1
0,64,exact,19,1040436,1
0,64,near,19,1060253,1
0,64,miss,19,1045635,1
0,64,unicode,19,1057468,1
0,64,exact,20,1040837,1
0,64,near,20,1044774,1
0,64,miss,20,1067828,1
0,64,unicode,20,1095660,1
0,64,exact,21,1044734,1
0,64,near,21,1043662,1
0,64,miss,21,1048822,1
0,64,unicode,21,1082735,1
0,64,exact,22,1046949,1
0,64,near,22,1037941,1
0,64,miss,22,1040436,1
0,64,unicode,22,1058911,1
0,64,exact,23,1056907,1
0,64,near,23,1059312,1
0,64,miss,23,1039835,1
0,64,unicode,23,1058240,1
0,64,exact,24,1074590,1
0,64,near,24,1087234,1
0,64,miss,24,1077636,1
0,64,unicode,24,1080170,1
0,64,exact,25,1068399,1
0,64,near,25,1066465,1
0,64,miss,25,1076404,1
0,64,unicode,25,1050846,1
0,64,exact,26,1053651,1
0,64,near,26,1054372,1
0,64,miss,26,1080752,1
0,64,unicode,26,1081453,1
0,64,exact,27,1068329,1
0,64,near,27,1068198,1
0,64,miss,27,1064622,1
0,64,unicode,27,1048321,1
0,64,exact,28,1053059,1
0,64,near,28,1039454,1
0,64,miss,28,1035125,1
0,64,unicode,28,1086272,1
0,64,exact,29,1053901,1
0,64,near,29,1041388,1
0,64,miss,29,1053621,1
0,64,unicode,29,1064010,1
0,64,exact,30,1054653,1
0,64,near,30,1085310,1
0,64,miss,30,1126288,1
0,64,unicode,30,1073228,1
0,64,exact,31,1073718,1
0,64,near,31,1056286,1
0,64,miss,31,1040687,1
0,64,unicode,31,1056416,1
0,64,exact,32,1077626,1
0,64,near,32,1052979,1
0,64,miss,32,1058179,1
0,64,unicode,32,1064862,1
0,64,exact,33,1054503,1
0,64,near,33,1051657,1
0,64,miss,33,1061475,1
0,64,unicode,33,1070052,1
0,64,exact,34,1046457,1
0,64,near,34,1047429,1
0,64,miss,34,1066635,1
0,64,unicode,34,1075652,1
0,64,exact,35,1043431,1
0,64,near,35,1055354,1
0,64,miss,35,1058429,1
0,64,unicode,35,1075361,1
0,64,exact,36,1075091,1
0,64,near,36,1042911,1
0,64,miss,36,1082595,1
0,64,unicode,36,1063158,1
0,64,exact,37,1048151,1
0,64,near,37,1070112,1
0,64,miss,37,1036338,1
0,64,unicode,37,1057428,1
0,64,exact,38,1063298,1
0,64,near,38,1123021,1
0,64,miss,38,1034996,1
0,64,unicode,38,1056907,1
0,64,exact,39,1044173,1
0,64,near,39,1045024,1
0,64,miss,39,1032301,1
0,64,unicode,39,1079119,1
0,64,exact,40,1092614,1
0,64,near,40,1049964,1
0,64,miss,40,1056356,1
0,64,unicode,40,1048211,1
0,64,exact,41,1013776,1
0,64,near,41,1007554,1
0,64,miss,41,991945,1
0,64,unicode,41,1012283,1
0,64,exact,42,970344,1
0,64,near,42,948363,1
0,64,miss,42,938504,1
0,64,unicode,42,942202,1
0,64,exact,43,935959,1
0,64,near,43,912455,1
0,64,miss,43,897627,1
0,64,unicode,43,899672,1
0,64,exact,44,879353,1
0,64,near,44,868753,1
0,64,miss,44,860237,1
0,64,unicode,44,902737,1
0,64,exact,45,845821,1
0,64,near,45,835961,1
0,64,miss,45,825472,1
0,64,unicode,45,843957,1
0,64,exact,46,817076,1
0,64,near,46,804272,1
0,64,miss,46,789223,1
0,64,unicode,46,814300,1
0,64,exact,47,777983,1
0,64,near,47,768514,1
0,64,miss,47,759959,1
0,64,unicode,47,773243,1
0,64,exact,48,746874,1
0,64,near,48,740031,1
0,64,miss,48,730653,1
0,64,unicode,48,732527,1
0,64,exact,49,736053,1
0,64,near,49,729010,1
0,64,miss,49,732887,1
0,64,unicode,49,740122,1
0,64,serialize,0,95800,1
0,64,deserialize,0,400814,1
0,64,insert,0,195086,1
0,64,update,0,189025,1
0,64,delete,0,188344,1
0,64,save,0,11377838,1
0,64,load,0,897607,1
0,64,serialize,1,45386,1
0,64,deserialize,1,401545,1
0,64,insert,1,209855,1
0,64,update,1,192512,1
0,64,delete,1,188073,1
0,64,save,1,10530986,1
0,64,load,1,420801,1
0,64,serialize,2,42380,1
0,64,deserialize,2,404561,1
0,64,insert,2,190678,1
0,64,update,2,189476,1
0,64,delete,2,187733,1
0,64,save,2,10651593,1
0,64,load,2,424358,1
0,64,serialize,3,47860,1
0,64,deserialize,3,387028,1
0,64,insert,3,191069,1
0,64,update,3,190047,1
0,64,delete,3,191400,1
0,64,save,3,10413515,1
0,64,load,3,438214,1
